"beta","alpha","gamma","W","c","v","r","k","sigma","spec","transformation","ss_monop1","ss_monop2","ss_monop3","ss_cournot1","ss_cournot2","ss_cournot3","ss_bertrand1","ss_bertrand2","ss_bertrand3","harvest_monop1","harvest_monop2","harvest_monop3","price_monop1","price_monop2","price_monop3","price_poachers_monop1","price_poachers_monop2","price_poachers_monop3","profit_monop1","profit_monop2","profit_monop3","harvest_cournot1","price_poachers_cournot1","farmed_cournot1","p_farmed_cournot1","p_wild_cournot1","profit_farmed_cournot1","profit_trader_cournot1","harvest_cournot2","price_poachers_cournot2","farmed_cournot2","p_farmed_cournot2","p_wild_cournot2","profit_farmed_cournot2","profit_trader_cournot2","harvest_cournot3","price_poachers_cournot3","farmed_cournot3","p_farmed_cournot3","p_wild_cournot3","profit_farmed_cournot3","profit_trader_cournot3","e","a_f","a_w","b_f","b_w","harvest_bertrand1","price_poachers_bertrand1","farmed_bertrand1","p_farmed_bertrand1","p_wild_bertrand1","profit_farmed_bertrand1","profit_trader_bertrand1","harvest_bertrand2","price_poachers_bertrand2","farmed_bertrand2","p_farmed_bertrand2","p_wild_bertrand2","profit_farmed_bertrand2","profit_trader_bertrand2","harvest_bertrand3","price_poachers_bertrand3","farmed_bertrand3","p_farmed_bertrand3","p_wild_bertrand3","profit_farmed_bertrand3","profit_trader_bertrand3"
1527.15980534519,1587792.39661445,13.7444382481067,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"gamma","0.01",17235,NA,NA,17251,NA,NA,17251,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,510.801278714315,19886.1677306009,500.914578365388,815930.997133477,800832.425753103,383187936.053052,398463400.137827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000589377027050506,1030.42898558824,1030.42898558824,0.000654863363389452,0.000654863363389452,510.821616869751,19886.9595218261,500.934774702064,815763.987420945,800801.088552304,383187795.400572,398462853.244463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,152.715980534519,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"gamma","0.111111111111111",17235,NA,NA,17399,NA,NA,17384,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,489.49573551361,18733.8918649438,478.738397343922,783571.355145537,767143.180680284,350010447.730079,365916766.987876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000661424565108098,945.184405871392,945.184405871392,0.000661424565108098,0.000661424565108098,491.80072284176,18854.6037133932,481.028289424637,778079.498154826,763273.393566478,349833113.90767,365677302.820086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,305.431961069038,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"gamma","0.222222222222222",17235,NA,NA,17545,NA,NA,17487,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,468.157512781744,17620.2848424315,456.397432841428,751402.218976659,733442.697584162,318105274.939728,334709839.264186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000136418816553545,866.419038715442,866.419038715442,0.000682094082767726,0.000682094082767726,476.703013295882,18061.131298265,464.839676316341,732307.590815985,717813.821702048,316783168.38802,333158971.213005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,763.579902672595,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"gamma","0.555555555555556",17235,NA,NA,17898,NA,NA,17596,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,414.774831685864,15001.3747732611,399.519476198136,672597.268360913,649299.902643803,243758852.172626,262729764.46476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000436540212971345,693.135230972354,693.135230972354,0.000873080425942689,0.000873080425942689,460.628245809633,17236.5495263514,443.49271161965,558781.682361807,545697.332832777,225277969.148585,243022721.083873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1221.72784427615,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"gamma","0.88888888888889",17235,NA,NA,18158,NA,NA,17403,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,373.786470083799,13134.5508559436,353.698596086083,615514.694145011,584837.300400859,191051810.205135,213369156.023019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014551340432378,577.612692476962,577.612692476962,0.00181891755404726,0.00181891755404726,488.940405713217,18704.0373434839,452.407385050463,299541.914672543,288383.562527742,112524309.632827,131431311.884955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1450.80181507793,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"gamma","1.05555555555556",17235,NA,NA,18262,NA,NA,16920,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,357.035051914341,12403.4314534722,333.62153446029,594280.271245037,558524.088487462,169977969.113153,194673212.238287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00638020311265807,533.18094690181,533.18094690181,0.00671600327648219,0.00671600327648219,556.775946308449,22532.3983256323,435.069903641163,115599.573762229,106306.344940774,28184295.519504,46158323.8759296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1527.00708936466,2.32430359258355,871.076651074496,50818.5,0.2012827,20226,0.0000200307674145246,"gamma","1.111",17235,NA,NA,18293,NA,NA,14141,NA,NA,513.015030532794,NA,NA,804336.462446832,NA,NA,20009.4516281394,NA,NA,401924669.988099,NA,NA,351.969893629939,12186.0602462299,327.245835799314,588328.998484531,550571.411140569,163543294.700659,189188841.929976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27388788661502,519.877417099785,519.877417099785,3.27421530814583,3.27421530814583,856.489779354635,49623.7537452966,149.992240913584,50864.3101336648,50756.4166693397,6871.16460493824,224045.969217078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,0,50818.5,0.2012827,20226,0.0000200307674145246,"c","0",17233,NA,NA,18227,NA,NA,17182,NA,NA,513.295127155906,NA,NA,803908.710142402,NA,NA,20025.0236703543,NA,NA,402363676.52311,NA,NA,362.713599346522,12649.1436482774,339.992064413667,601270.188287568,566570.773422365,176531432.736309,200914908.091251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,520.610768094885,20431.1771765044,451.997207524207,181970.173817256,171491.78663674,59280190.3275254,78643779.9199749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,1742.15330214899,50818.5,0.2012827,20226,0.0000200307674145246,"c","2",17237,NA,NA,18231,NA,NA,17197,NA,NA,512.73493174771,NA,NA,804764.218052937,NA,NA,19993.8861892761,NA,NA,401485899.691271,NA,NA,362.010714089297,12619.0922357321,340.308362779419,600352.415801291,567209.457199365,176860043.796561,200136975.886564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,518.521998585105,20313.7206813233,453.57694917026,182428.552226745,172510.405324494,59695285.9691457,78013984.2871321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527.15980534519,1587792.39661445,1374.44382481067,2.32430359258355,4355.38325537248,50818.5,0.2012827,20226,0.0000200307674145246,"c","5",17243,NA,NA,18238,NA,NA,17219,NA,NA,511.894622431422,NA,NA,806047.504664831,NA,NA,19947.2294598385,NA,NA,400171006.302243,NA,NA,360.956925212536,12572.7021878838,340.782567773961,598976.460867689,568166.993088831,177353280.862944,198973501.161264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0031017330921648,547.212024451858,547.212024451858,0.00344637010240533,0.00344637010240533,515.386545032611,20139.3243817322,455.948300596516,183116.624417425,174039.454637117,60321105.0002315,77073350.484112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
