"","gamma","v","c","alpha","ss_monop_1","ss_monop_2","ss_monop_3","ss_cournot_1","ss_cournot_2","ss_cournot_3","ss_bertrand_1","ss_bertrand_2","ss_bertrand_3"
"67",0.6854989251,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"68",0.9173122167,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"69",1.1655192153,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"70",1.4230818129,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"71",0.0013751088,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"72",0.0204523296,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"73",0.0768888936,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"74",0.1796678628,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"75",0.3293399136,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"76",0.5212057896,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"77",0.7478170092,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"78",1.0007042364,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"79",1.2714755076,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"80",1.5524528868,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"81",0.001145924,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"82",0.017043608,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"83",0.064074078,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"84",0.149723219,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"85",0.274449928,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"86",0.434338158,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"87",0.623180841,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"88",0.833920197,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"89",1.059562923,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"90",1.293710739,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"91",0.0010313316,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"92",0.0153392472,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"93",0.0576666702,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"94",0.1347508971,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"95",0.2470049352,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"96",0.3909043422,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"97",0.5608627569,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"98",0.7505281773,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"99",0.9536066307,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"100",1.1643396651,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"101",0.0012605164,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"102",0.0187479688,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"103",0.0704814858,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"104",0.1646955409,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"105",0.3018949208,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"106",0.4777719738,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"107",0.6854989251,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"108",0.9173122167,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"109",1.1655192153,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"110",1.4230818129,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"111",0.0013751088,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"112",0.0204523296,4000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"113",0.0768888936,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"114",0.1796678628,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"115",0.3293399136,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"116",0.5212057896,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"117",0.7478170092,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"118",1.0007042364,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"119",1.2714755076,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"120",1.5524528868,4000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"121",0.001145924,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"122",0.017043608,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"123",0.064074078,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"124",0.149723219,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"125",0.274449928,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"126",0.434338158,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"127",0.623180841,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"128",0.833920197,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"129",1.059562923,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"130",1.293710739,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"131",0.0010313316,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"132",0.0153392472,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"133",0.0576666702,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"134",0.1347508971,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"135",0.2470049352,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"136",0.3909043422,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"137",0.5608627569,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"138",0.7505281773,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"139",0.9536066307,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"140",1.1643396651,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"141",0.0012605164,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"142",0.0187479688,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"143",0.0704814858,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"144",0.1646955409,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"145",0.3018949208,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"146",0.4777719738,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"147",0.6854989251,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"148",0.9173122167,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"149",1.1655192153,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"150",1.4230818129,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"151",0.0013751088,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"152",0.0204523296,5000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"153",0.0768888936,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"154",0.1796678628,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"155",0.3293399136,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"156",0.5212057896,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"157",0.7478170092,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"158",1.0007042364,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"159",1.2714755076,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"160",1.5524528868,5000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"161",0.001145924,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"162",0.017043608,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"163",0.064074078,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"164",0.149723219,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"165",0.274449928,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"166",0.434338158,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"167",0.623180841,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"168",0.833920197,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"169",1.059562923,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"170",1.293710739,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"171",0.0010313316,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"172",0.0153392472,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"173",0.0576666702,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"174",0.1347508971,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"175",0.2470049352,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"176",0.3909043422,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"177",0.5608627569,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"178",0.7505281773,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"179",0.9536066307,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"180",1.1643396651,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"181",0.0012605164,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"182",0.0187479688,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"183",0.0704814858,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"184",0.1646955409,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"185",0.3018949208,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"186",0.4777719738,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"187",0.6854989251,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"188",0.9173122167,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"189",1.1655192153,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"190",1.4230818129,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"191",0.0013751088,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"192",0.0204523296,6000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"193",0.0768888936,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"194",0.1796678628,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"195",0.3293399136,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"196",0.5212057896,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"197",0.7478170092,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"198",1.0007042364,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"199",1.2714755076,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"200",1.5524528868,6000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"201",0.001145924,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"202",0.017043608,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"203",0.064074078,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"204",0.149723219,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"205",0.274449928,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"206",0.434338158,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"207",0.623180841,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"208",0.833920197,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"209",1.059562923,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"210",1.293710739,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"211",0.0010313316,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"212",0.0153392472,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"213",0.0576666702,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"214",0.1347508971,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
